architecture_family,component_relation,estimated_cost,estimated_memory,estimated_points,exact_geometric_transform,exact_integer_scale,example_count,initializer_count,input_is_output_subgrid,input_shape_variability,model_bytes,node_count,nonzero_relation,output_is_input_subgrid,output_is_nonzero_bbox,output_shape_variability,palette_relation,parameter_count,primitive_tags,same_shape_examples,same_shape_mask_relation,semantic_signature,shape_inventory_complete,shape_relation,task,top_ops
mixed,same,1744,1643,17.536063396,none,none,265,5,none,variable,2872,45,increase,none,none,variable,same,101,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task051,Cast:13;Einsum:8;Mul:6;Equal:3;And:3;Sub:2;Sign:2;Add:2;GreaterOrEqual:2;Or:2
mixed,increase,194,90,19.732141841,none,none,267,6,none,fixed,1018,6,decrease,none,none,fixed,disjoint,104,same_shape;select_or_erase,267,output_subset,rows_same:cols_same|disjoint|decrease|increase|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task052,Concat:2;Einsum:1;Greater:1;Equal:1;Pad:1
single_gather,same,30,0,21.598802618,mixed,none,60,1,none,fixed,175,1,same,none,none,fixed,same,30,same_shape,60,overlap,rows_same:cols_same|same|same|same|overlap|none|none|none|mixed|none|fixed|fixed,True,rows_same:cols_same,task053,Gather:1
index_scatter,same,24717,24466,14.884753455,none,none,266,45,none,fixed,23797,263,same,none,none,fixed,same,251,same_shape;mask_preserving,266,same,rows_same:cols_same|same|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task054,Gather:32;Where:29;Reshape:29;And:24;Equal:21;ArgMax:21;Cast:18;Add:18;Concat:12;ReduceMax:8
mixed,same,1767,1560,17.522961528,none,none,265,8,none,variable,1511,19,increase,none,none,variable,output_superset,207,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task055,Cast:4;Equal:4;Einsum:3;Greater:2;QLinearConv:2;And:2;Concat:2
bitwise,decrease,34,34,21.473639475,none,none,46,0,none,fixed,859,13,decrease,mixed,none,fixed,mixed,0,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|mixed|decrease|decrease|not_applicable|mixed|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task056,And:3;Slice:2;Greater:2;Cast:2;Equal:1;Not:1;Concat:1;Pad:1
index_scatter,increase,668,638,18.495711826,none,none,265,6,none,fixed,1367,20,increase,none,none,fixed,same,30,crop_or_extract;paint_or_fill;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|increase|increase|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task057,Cast:4;ReduceMin:2;ArgMin:2;Add:2;Gather:2;Equal:2;Slice:1;ReduceMax:1;ArgMax:1;Where:1
bitwise,increase,1033,252,18.059777531,none,none,22,3,none,variable,6763,5,increase,none,none,variable,output_superset,781,same_shape;palette_add;paint_or_fill,22,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task058,ReduceL2:1;Cast:1;Sub:1;Gather:1;BitwiseAnd:1
einsum,decrease,547,257,18.695551198,none,none,266,9,none,fixed,2021,9,mixed,none,none,fixed,same,290,same_shape,266,mixed,rows_same:cols_same|same|mixed|decrease|mixed|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task059,Einsum:3;ReduceMin:1;Equal:1;ReduceMax:1;Cast:1;Where:1;Pad:1
single_conv,decrease,1010,0,18.082294390,none,none,265,2,none,fixed,4221,1,increase,none,none,fixed,output_superset,1010,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task060,Conv:1
mixed,decrease,1668,1633,17.580619417,none,none,267,6,none,fixed,875,9,increase,none,none,fixed,same,35,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task061,Mod:2;ReduceMax:1;ArgMax:1;Cast:1;Transpose:1;QLinearMatMul:1;Pad:1;Equal:1
mixed,same,2524,2465,17.166399776,none,none,267,21,none,fixed,4138,43,increase,none,none,fixed,overlap,59,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|overlap|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task062,ReduceMax:6;Where:6;Add:6;ArgMax:5;Cast:4;Pad:4;Or:3;Slice:2;Equal:2;Greater:2
mixed,same,1706,1680,17.558093272,none,none,266,7,none,variable,972,14,increase,none,none,variable,output_superset,26,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task063,Where:5;Einsum:2;Less:2;Equal:2;ReduceSum:1;Reshape:1;Greater:1
mixed,same,10432,10346,15.747366716,none,none,267,20,none,variable,3568,68,same,none,none,variable,same,86,same_shape;mask_preserving,267,same,rows_same:cols_same|same|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task064,Cast:10;Slice:7;Mul:7;Sub:7;ArgMax:5;ReduceSum:4;Gather:4;Reshape:4;Einsum:3;OneHot:2
mixed,decrease,638,582,18.541661717,none,none,266,13,none,variable,2196,28,decrease,all,none,variable,mixed,56,crop_or_extract;subgrid_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|mixed|decrease|decrease|not_applicable|all|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task065,Where:5;Einsum:4;Equal:4;Cast:2;Mod:2;Less:2;Pad:2;BitwiseAnd:2;Sqrt:1;Add:1
bitwise,decrease,10571,10374,15.734130318,none,none,266,31,none,variable,14638,186,increase,none,none,variable,same,197,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task066,And:33;Where:20;Cast:19;Equal:12;Greater:11;Or:11;ReduceMax:10;Slice:7;Reshape:6;GatherElements:5
single_einsum,decrease,0,0,,none,none,266,0,none,variable,145,1,decrease,all,none,variable,same,0,crop_or_extract;subgrid_extract;select_or_erase,0,not_applicable,rows_same:cols_decrease|same|decrease|decrease|not_applicable|all|none|none|none|none|variable|variable,True,rows_same:cols_decrease,task067,Einsum:1
einsum,decrease,623,500,18.565453481,none,none,266,10,none,fixed,1693,14,decrease,none,none,fixed,mixed,123,same_shape;select_or_erase,266,overlap,rows_same:cols_same|mixed|decrease|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task068,Einsum:3;Cast:3;Add:2;ScatterElements:2;BitwiseAnd:2;Equal:1;Where:1
mixed,decrease,2949,2864,17.010778591,none,none,264,13,none,fixed,2903,31,decrease,none,none,fixed,output_subset,85,same_shape;palette_filter;select_or_erase,264,output_subset,rows_same:cols_same|output_subset|decrease|decrease|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task069,Cast:5;Gather:4;Equal:3;ReduceMax:3;Greater:2;ArgMax:2;Unsqueeze:2;Add:2;Pad:2;QLinearConv:2
einsum,same,1682,1440,17.572261159,none,none,266,5,none,fixed,1863,11,same,none,none,fixed,output_superset,242,same_shape;mask_preserving;palette_add,266,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task070,CumSum:4;Einsum:3;Min:2;Concat:2
mixed,increase,2663,2607,17.112791414,none,none,265,14,none,fixed,3098,32,decrease,none,none,fixed,output_subset,56,same_shape;palette_filter;select_or_erase,265,output_subset,rows_same:cols_same|output_subset|decrease|increase|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task071,Add:6;Cast:5;Reshape:3;ArgMax:3;Slice:2;Gather:2;Concat:2;Pad:2;Less:1;ReduceMin:1
spatial,mixed,421,390,18.957367166,none,none,268,8,none,fixed,446,5,decrease,none,none,fixed,disjoint,31,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_same|disjoint|decrease|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_same,task072,Slice:2;Equal:1;Where:1;Pad:1
single_conv,same,40,0,21.311120546,none,none,15,1,none,fixed,371,1,decrease,none,none,fixed,same,40,same_shape;select_or_erase,15,output_subset,rows_same:cols_same|same|decrease|same|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task073,Conv:1
