architecture_family,component_relation,estimated_cost,estimated_memory,estimated_points,exact_geometric_transform,exact_integer_scale,example_count,initializer_count,input_is_output_subgrid,input_shape_variability,model_bytes,node_count,nonzero_relation,output_is_input_subgrid,output_is_nonzero_bbox,output_shape_variability,palette_relation,parameter_count,primitive_tags,same_shape_examples,same_shape_mask_relation,semantic_signature,shape_inventory_complete,shape_relation,task,top_ops
mixed,same,138,136,20.072746315,mixed,none,266,2,none,variable,559,6,same,none,none,variable,same,2,same_shape;geometry;mask_preserving,266,same,rows_same:cols_same|same|same|same|same|none|none|none|mixed|none|variable|variable,True,rows_same:cols_same,task150,ReduceL2:1;Cast:1;Add:1;Sub:1;Range:1;Gather:1
single_conv,same,900,0,18.197605237,none,none,266,1,none,variable,3790,1,increase,none,none,variable,output_superset,900,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task151,Conv:1
single_einsum,same,90,0,20.500190330,none,mixed,267,1,all,fixed,532,1,increase,none,none,fixed,same,90,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|same|not_applicable|none|none|all|none|mixed|fixed|fixed,True,rows_increase:cols_increase,task152,Einsum:1
mixed,decrease,767,715,18.357513199,none,none,265,14,none,fixed,5624,49,same,none,none,fixed,same,52,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|same|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task153,Cast:7;Reshape:6;Add:5;Mod:4;Where:4;Slice:3;Equal:3;ArgMax:2;Gather:2;Div:2
mixed,decrease,2679,2581,17.106801130,none,none,266,27,none,fixed,3733,32,same,none,none,fixed,same,98,same_shape,266,overlap,rows_same:cols_same|same|same|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task154,Slice:7;Cast:7;Where:6;Pad:4;ReduceMax:2;Gather:2;Concat:2;Max:1;Equal:1
mixed,same,138,136,20.072746315,flip_v,none,266,2,none,variable,593,6,same,none,none,variable,same,2,same_shape;geometry;mask_preserving,266,same,rows_same:cols_same|same|same|same|same|none|none|none|flip_v|none|variable|variable,True,rows_same:cols_same,task155,ReduceL2:1;Cast:1;Add:1;Sub:1;Range:1;Gather:1
mixed,same,1562,1505,17.646277670,none,none,265,19,none,fixed,3078,26,same,none,none,fixed,output_superset,57,same_shape;mask_preserving;palette_add,265,same,rows_same:cols_same|output_superset|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task156,Gather:4;Less:4;Where:4;Equal:2;And:2;Or:2;Pad:2;Slice:1;Cast:1;QLinearConv:1
mixed,decrease,6819,6563,16.172531887,none,none,265,48,none,fixed,39061,488,same,none,none,fixed,overlap,256,same_shape,265,overlap,rows_same:cols_same|overlap|same|decrease|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task157,And:59;Cast:55;Gather:50;Slice:37;Add:33;Greater:28;Concat:27;Unsqueeze:26;Reshape:25;Pad:20
mixed,same,2497,675,17.177154710,none,none,266,39,none,variable,8407,68,same,none,none,variable,same,1822,same_shape;mask_preserving,266,same,rows_same:cols_same|same|same|same|same|none|none|none|none|none|variable|variable,False,rows_same:cols_same,task158,Gather:10;Equal:9;Where:9;QLinearConv:8;Slice:5;Cast:4;Reshape:4;ArgMax:3;BitwiseOr:3;Concat:2
mixed,decrease,1568,1419,17.642443799,none,none,265,18,none,variable,3358,33,increase,none,none,variable,same,149,crop_or_extract;paint_or_fill;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|increase|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task159,Cast:6;Einsum:5;Sub:3;Pad:3;Gather:3;Div:2;Log:2;Mul:2;Add:2;Unsqueeze:1
quantized,same,1334,1164,17.804062774,none,none,265,10,none,fixed,1376,7,decrease,none,none,fixed,output_superset,170,same_shape;palette_add;select_or_erase,265,overlap,rows_same:cols_same|output_superset|decrease|same|overlap|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task160,QLinearConv:3;Slice:1;Cast:1;MaxPool:1;Concat:1
einsum,decrease,1808,1646,17.500023459,none,none,266,13,none,variable,2614,25,mixed,none,none,variable,output_subset,162,same_shape;palette_filter,266,overlap,rows_same:cols_same|output_subset|mixed|decrease|overlap|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task161,Einsum:7;Less:3;Cast:3;Where:3;Equal:2;Reshape:2;Add:1;Greater:1;And:1;ArgMax:1
spatial,decrease,179,0,19.812614194,none,none,266,7,none,fixed,1327,6,increase,none,none,fixed,output_superset,179,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,False,rows_same:cols_same,task162,Conv:1;QuantizeLinear:1;MaxPool:1;Greater:1;Pad:1;Where:1
mixed,decrease,1791,1655,17.509470598,none,none,267,15,none,fixed,2028,23,decrease,none,none,fixed,output_subset,136,same_shape;palette_filter;select_or_erase,267,mixed,rows_same:cols_same|output_subset|decrease|decrease|mixed|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task163,Gather:4;Cast:3;Einsum:2;Mod:2;Sub:2;Squeeze:2;Pad:2;Concat:1;Add:1;Slice:1
single_gather,same,30,0,21.598802618,none,none,267,1,all,fixed,479,1,increase,none,none,fixed,same,30,expand_or_compose;paint_or_fill,0,not_applicable,rows_same:cols_increase|same|increase|same|not_applicable|none|none|all|none|none|fixed|fixed,True,rows_same:cols_increase,task164,Gather:1
mixed,decrease,4525,4363,16.582627144,none,none,265,19,none,fixed,2416,36,increase,none,none,fixed,same,162,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task165,Cast:6;Where:5;ReduceMax:4;Add:4;ArgMax:3;Greater:3;Equal:2;Reshape:2;Concat:2;Slice:1
single_einsum,same,24,0,21.821946170,none,none,266,2,none,variable,352,1,increase,none,none,variable,output_superset,24,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task166,Einsum:1
einsum,increase,146,18,20.016393378,none,none,268,4,none,fixed,847,6,decrease,none,none,fixed,disjoint,128,same_shape;select_or_erase,268,output_subset,rows_same:cols_same|disjoint|decrease|increase|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task167,Einsum:3;Cast:2;Concat:1
quantized,increase,2237,2096,17.287109039,none,none,265,14,none,fixed,2908,16,increase,none,none,fixed,same,141,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task168,QLinearConv:8;Cast:2;Slice:1;ReduceMax:1;Mul:1;Max:1;Pad:1;Where:1
quantized,same,1670,1500,17.579421095,none,none,266,10,none,fixed,1404,10,same,none,none,fixed,disjoint,170,same_shape;mask_preserving,266,same,rows_same:cols_same|disjoint|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task169,QLinearConv:4;Where:2;Slice:1;Cast:1;Equal:1;Concat:1
mixed,decrease,2124,2056,17.338943618,none,none,266,22,none,variable,6286,57,decrease,none,none,variable,mixed,68,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|mixed|decrease|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task170,Unsqueeze:9;Cast:7;Concat:6;Add:4;Slice:3;ArgMin:3;Sub:3;Where:3;Squeeze:2;ArgMax:2
spatial,increase,435,324,18.924653969,none,none,54,4,none,variable,774,2,increase,none,none,variable,output_superset,111,same_shape;palette_add;paint_or_fill,54,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task171,Conv:2
single_gather,same,30,0,21.598802618,none,none,267,1,all,fixed,479,1,increase,none,none,fixed,same,30,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_same|same|increase|same|not_applicable|none|none|all|none|none|fixed|fixed,True,rows_increase:cols_same,task172,Gather:1
index_scatter,mixed,13383,13307,15.498259476,none,none,266,26,none,variable,4073,98,increase,none,none,variable,same,76,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|mixed|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task173,Gather:18;Cast:15;Equal:11;Where:10;Add:10;And:6;Greater:5;ScatterElements:5;Reshape:4;TopK:3
mixed,decrease,1272,1090,17.851654256,none,none,266,21,none,fixed,3656,65,decrease,all,none,variable,output_subset,182,crop_or_extract;subgrid_extract;palette_filter;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|all|none|none|none|none|fixed|variable,False,rows_decrease:cols_decrease,task174,ReduceMax:13;Cast:9;Where:7;Add:6;Equal:5;Mul:5;Sub:4;Reshape:3;Clip:2;Gather:2
index_scatter,same,1255,318,17.865109148,none,none,266,8,none,fixed,5013,15,increase,none,none,fixed,same,937,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task175,ArgMax:3;Cast:3;Slice:2;Max:1;ReduceMax:1;Squeeze:1;Sum:1;Mod:1;Equal:1;Gather:1
single_einsum,decrease,210,0,19.652892469,none,none,25,3,none,variable,1044,1,increase,none,none,variable,output_superset,210,same_shape;palette_add;paint_or_fill,25,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task176,Einsum:1
einsum,same,3249,3200,16.913897464,none,none,265,7,none,variable,1019,11,same,mixed,mixed,variable,same,49,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|same|same|not_applicable|mixed|mixed|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task177,Einsum:3;ArgMax:2;OneHot:2;Add:1;Sub:1;Equal:1;Pad:1
mixed,same,762,702,18.364053444,none,none,268,19,none,variable,4598,35,decrease,mixed,none,variable,same,60,select_or_erase,0,not_applicable,mixed|same|decrease|same|not_applicable|mixed|none|none|none|none|variable|variable,True,mixed,task178,Cast:6;Slice:6;Where:5;Reshape:3;Equal:3;Conv:2;Not:2;And:2;Gather:2;ReduceMax:1
single_transpose,same,0,0,,mixed,none,267,0,none,fixed,170,1,same,none,none,fixed,same,0,same_shape;geometry;mask_preserving,267,same,rows_same:cols_same|same|same|same|same|none|none|none|mixed|none|fixed|fixed,True,rows_same:cols_same,task179,Transpose:1
single_conv,decrease,210,0,19.652892469,none,none,268,2,none,fixed,1110,1,decrease,none,none,fixed,mixed,210,crop_or_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|mixed|decrease|decrease|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task180,Conv:1
index_scatter,increase,368,201,19.091917062,none,none,266,8,none,fixed,2291,6,increase,none,none,fixed,same,167,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task181,Slice:1;GatherND:1;Cast:1;Where:1;Mul:1;ScatterND:1
mixed,same,6095,6024,16.284775958,none,none,267,16,none,fixed,2135,32,same,none,none,fixed,mixed,71,same_shape;mask_preserving,267,same,rows_same:cols_same|mixed|same|same|same|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task182,Cast:7;Add:5;AveragePool:2;ArgMax:2;Reshape:2;Slice:2;Equal:2;Conv:1;Concat:1;Greater:1
mixed,increase,1024,805,18.068528194,none,none,265,37,none,variable,6467,40,decrease,none,none,variable,output_subset,219,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|increase|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task183,Where:14;Slice:13;Cast:4;Less:4;Mul:1;Einsum:1;Max:1;Equal:1;Pad:1
quantized,decrease,2039,1920,17.379785229,none,none,266,13,none,variable,1931,16,decrease,none,none,variable,same,119,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task184,Cast:4;QLinearConv:4;Einsum:3;Sign:2;Equal:2;Pad:1
mixed,increase,1955,1651,17.421854528,none,none,267,23,none,variable,4032,41,decrease,none,none,fixed,output_subset,304,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|increase|not_applicable|none|none|none|none|none|variable|fixed,True,rows_decrease:cols_decrease,task185,Cast:6;Equal:5;Conv:4;Where:4;Slice:4;Pad:3;Less:2;ReduceMax:2;Min:2;ArgMax:2
spatial,decrease,103,80,20.365271012,none,none,267,4,none,fixed,602,5,same,none,none,fixed,disjoint,23,same_shape,267,mixed,rows_same:cols_same|disjoint|same|decrease|mixed|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task186,GlobalLpPool:1;ReduceMax:1;Less:1;Where:1;Pad:1
bitwise,same,15790,15285,15.332867893,none,none,266,30,none,variable,12620,92,increase,none,none,variable,output_superset,505,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task187,BitwiseAnd:25;BitwiseOr:16;Gather:13;BitShift:11;Slice:7;Cast:4;Greater:4;BitwiseXor:3;Conv:2;Add:2
bitwise,same,764,660,18.361432211,none,none,266,20,none,variable,5434,40,decrease,all,none,variable,same,104,subgrid_extract;select_or_erase,0,not_applicable,mixed|same|decrease|same|not_applicable|all|none|none|none|none|variable|variable,True,mixed,task188,Cast:11;Slice:8;ReduceMax:7;Or:5;Mul:2;And:2;Concat:2;Xor:1;Not:1;Einsum:1
mixed,mixed,892,837,18.206533867,none,none,266,15,none,fixed,1838,18,decrease,none,none,fixed,output_subset,55,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|mixed|not_applicable|none|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task189,Cast:4;Where:3;GatherND:2;Add:2;Slice:2;Concat:1;Conv:1;Resize:1;Equal:1;Pad:1
quantized,increase,2427,2180,17.205588794,none,none,266,15,none,fixed,2062,16,increase,none,none,fixed,same,247,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task190,QLinearConv:8;Cast:2;Slice:1;Max:1;Pad:1;MaxPool:1;Mul:1;Where:1
mixed,decrease,11082,11009,15.686922551,none,none,267,34,none,fixed,6738,64,increase,none,none,fixed,same,73,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task191,Slice:13;Cast:7;Sub:6;Mul:5;ArgMax:4;Add:4;Unsqueeze:4;Concat:3;Einsum:2;Greater:2
spatial,decrease,5346,5272,16.415896103,none,none,265,9,none,variable,1161,14,decrease,none,none,variable,output_subset,74,same_shape;palette_filter;select_or_erase,265,output_subset,rows_same:cols_same|output_subset|decrease|decrease|output_subset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task192,Equal:3;Cast:2;MaxPool:2;Where:2;Conv:1;ReduceSum:1;Add:1;ArgMax:1;Pad:1
single_conv,decrease,910,0,18.186555400,none,none,266,2,none,variable,3824,1,decrease,none,none,variable,same,910,same_shape;select_or_erase,266,output_subset,rows_same:cols_same|same|decrease|decrease|output_subset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task193,Conv:1
index_scatter,mixed,949,900,18.144591201,none,none,266,6,all,fixed,745,5,increase,none,none,fixed,same,49,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|mixed|not_applicable|none|none|all|none|none|fixed|fixed,True,rows_increase:cols_increase,task194,Slice:1;Cast:1;Reshape:1;Gather:1;Pad:1
index_scatter,increase,921,882,18.174539964,none,none,265,8,none,variable,1248,19,decrease,none,none,fixed,same,39,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|increase|not_applicable|none|none|none|none|none|variable|fixed,True,rows_decrease:cols_decrease,task195,Cast:4;ReduceMax:2;ArgMax:2;Add:2;Gather:2;Unsqueeze:2;Slice:1;And:1;Reshape:1;Where:1
spatial,same,4536,4500,16.580199155,none,none,266,9,none,variable,1227,15,same,none,none,variable,mixed,36,same_shape;mask_preserving,266,same,rows_same:cols_same|mixed|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task196,MaxPool:5;Min:4;Slice:1;Cast:1;QLinearConv:1;Less:1;Pad:1;Where:1
index_scatter,same,1141,1100,17.960339650,none,none,267,4,none,variable,986,12,increase,none,none,variable,same,41,same_shape;paint_or_fill,267,output_superset,rows_same:cols_same|same|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task197,Cast:2;Gather:2;Slice:1;ArgMax:1;Squeeze:1;Unsqueeze:1;Equal:1;Where:1;ReduceMin:1;Concat:1
mixed,decrease,10350,10186,15.755258201,none,none,266,30,none,variable,4587,53,increase,none,none,variable,output_superset,164,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task198,Gather:10;Cast:5;Greater:4;Where:4;Sub:4;Concat:4;Add:4;Equal:3;Slice:3;Mul:2
mixed,increase,1823,1735,17.491761225,none,none,266,10,none,variable,2190,28,increase,none,none,variable,output_superset,88,same_shape;palette_add;paint_or_fill,266,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task199,Cast:6;Where:4;Einsum:3;Div:2;LessOrEqual:2;Equal:2;ReduceSum:1;Add:1;Mul:1;Transpose:1
spatial,same,623,420,18.565453481,none,none,84,7,none,fixed,1326,7,increase,none,none,fixed,mixed,203,same_shape;paint_or_fill,84,output_superset,rows_same:cols_same|mixed|increase|same|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task200,Cast:2;Conv:2;ReduceMax:1;Concat:1;Einsum:1
index_scatter,decrease,3045,2876,16.978743820,none,none,266,24,none,fixed,4720,62,same,none,none,variable,same,169,crop_or_extract;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|same|decrease|not_applicable|none|none|none|none|none|fixed|variable,True,rows_decrease:cols_decrease,task201,Where:9;Gather:7;ArgMax:6;LessOrEqual:6;And:4;Min:4;Equal:4;Cast:3;Sub:3;Add:3
einsum,increase,4481,4405,16.592398485,none,none,267,11,none,variable,2549,32,decrease,none,none,variable,same,76,same_shape;select_or_erase,267,output_subset,rows_same:cols_same|same|decrease|increase|output_subset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task202,Where:9;Einsum:8;Cast:4;Max:3;Equal:3;Div:2;Greater:2;Min:1
index_scatter,same,355,352,19.127882211,none,none,267,2,none,variable,520,10,same,none,none,variable,same,3,same_shape;mask_preserving,267,same,rows_same:cols_same|same|same|same|same|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task203,Cast:2;ReduceSum:1;ReduceMax:1;Add:1;Sub:1;Transpose:1;Equal:1;ArgMax:1;Gather:1
spatial,same,10232,9780,15.766724657,none,none,268,28,none,variable,3633,30,increase,none,none,variable,output_superset,452,same_shape;palette_add;paint_or_fill,268,output_superset,rows_same:cols_same|output_superset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task204,QLinearConv:9;MaxPool:7;Cast:3;Slice:3;ReduceMax:2;Max:2;Pad:2;Min:1;Concat:1
mixed,mixed,4099,4054,16.681501679,none,none,266,7,none,variable,5446,70,decrease,none,none,variable,output_subset,45,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|mixed|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task205,Cast:15;Einsum:8;ArgMax:6;Mul:6;Unsqueeze:6;Greater:5;Sub:4;ReduceMax:3;Concat:3;Equal:2
mixed,same,1775,1640,17.518444298,none,none,266,10,none,variable,2452,29,increase,none,none,variable,output_subset,135,same_shape;palette_filter;paint_or_fill,266,output_superset,rows_same:cols_same|output_subset|increase|same|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task206,Unsqueeze:7;Einsum:5;Concat:4;Add:3;Div:2;Sub:2;Round:1;RoiAlign:1;ArgMax:1;Reshape:1
mixed,decrease,236,192,19.536168195,none,none,265,13,none,fixed,1400,13,decrease,all,none,fixed,same,44,crop_or_extract;subgrid_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|all|none|none|none|none|fixed|fixed,True,rows_decrease:cols_decrease,task207,Slice:4;Cast:3;Sum:1;Mod:1;GlobalMaxPool:1;Sub:1;Where:1;Pad:1
mixed,decrease,4165,4032,16.665528445,none,none,266,23,none,fixed,4064,79,increase,none,none,fixed,same,133,same_shape;paint_or_fill,266,mixed,rows_same:cols_same|same|increase|decrease|mixed|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task208,Sub:8;Add:8;Div:8;Where:6;Cast:6;Gather:5;Equal:5;Einsum:4;ArgMax:3;Unsqueeze:3
mixed,decrease,7769,7502,16.042103265,none,none,266,28,none,variable,6699,163,increase,none,none,variable,same,267,paint_or_fill,0,not_applicable,mixed|same|increase|decrease|not_applicable|none|none|none|none|none|variable|variable,True,mixed,task209,Cast:38;Sub:15;ArgMax:14;Mul:13;Add:13;Greater:9;Equal:8;Where:8;Einsum:7;And:4
single_gather,increase,30,0,21.598802618,none,mixed,266,1,all,fixed,479,1,increase,none,none,fixed,same,30,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_same|same|increase|increase|not_applicable|none|none|all|none|mixed|fixed|fixed,True,rows_increase:cols_same,task210,Gather:1
single_einsum,increase,270,0,19.401578041,none,mixed,266,3,all,fixed,1289,1,increase,none,none,fixed,same,270,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|increase|not_applicable|none|none|all|none|mixed|fixed|fixed,True,rows_increase:cols_increase,task211,Einsum:1
spatial,decrease,2249,2068,17.281759048,none,none,265,13,none,fixed,1559,19,increase,none,none,fixed,same,181,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task212,Slice:4;Cast:4;MaxPool:4;Concat:2;ArgMax:1;Less:1;Where:1;Expand:1;ConvInteger:1
mixed,decrease,1850,1802,17.477059082,none,none,265,14,none,variable,5128,59,decrease,none,none,variable,output_subset,48,crop_or_extract;palette_filter;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|output_subset|decrease|decrease|not_applicable|none|none|none|none|none|variable|variable,True,rows_decrease:cols_decrease,task213,Slice:12;Cast:9;Or:6;Where:6;ReduceSum:5;Greater:5;Einsum:4;And:4;Div:2;Unsqueeze:2
index_scatter,decrease,525,402,18.736601737,none,none,266,6,none,fixed,974,8,increase,none,none,fixed,same,123,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task214,Gather:2;Einsum:1;Cast:1;Transpose:1;Concat:1;Equal:1;Pad:1
mixed,mixed,622,531,18.567059907,none,none,265,4,none,variable,984,12,increase,none,none,variable,same,91,same_shape;paint_or_fill,265,output_superset,rows_same:cols_same|same|increase|mixed|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task215,ReduceSum:3;Less:2;Where:2;ReduceMax:1;Cast:1;Div:1;Slice:1;Gather:1
index_scatter,decrease,8411,8322,15.962704348,none,none,266,19,none,fixed,3827,76,decrease,all,none,variable,same,89,crop_or_extract;subgrid_extract;select_or_erase,0,not_applicable,rows_decrease:cols_decrease|same|decrease|decrease|not_applicable|all|none|none|none|none|fixed|variable,True,rows_decrease:cols_decrease,task216,Cast:11;Unsqueeze:11;Gather:7;ArgMax:5;Concat:5;Less:4;Sub:4;Slice:2;ReduceMax:2;Max:2
spatial,increase,1470,1429,17.706982320,none,none,266,7,none,fixed,1049,13,increase,none,none,fixed,same,41,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task217,Where:2;Pad:2;Unsqueeze:2;ReduceMax:1;Cast:1;Equal:1;Conv:1;Less:1;And:1;Reshape:1
mixed,same,649,552,18.524567283,none,none,266,11,none,fixed,3128,22,decrease,mixed,none,variable,same,97,crop_or_extract;select_or_erase;extract_and_recompose,0,not_applicable,rows_decrease:cols_decrease|same|decrease|same|not_applicable|mixed|none|none|none|none|fixed|variable,True,rows_decrease:cols_decrease,task218,Cast:5;Where:4;Conv:3;Squeeze:2;TopK:2;Gather:2;Unsqueeze:1;Min:1;Equal:1;Pad:1
mixed,increase,8649,8567,15.934801014,none,none,265,30,none,fixed,9456,194,increase,none,none,fixed,output_superset,82,same_shape;palette_add;paint_or_fill,265,output_superset,rows_same:cols_same|output_superset|increase|increase|output_superset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task219,Unsqueeze:24;Gather:23;Cast:22;Mul:22;ArgMax:15;Add:14;ReduceSum:14;Concat:11;Sub:8;Pad:7
single_conv,decrease,900,0,18.197605237,none,none,267,1,none,variable,3775,1,increase,none,none,variable,output_superset,900,same_shape;palette_add;paint_or_fill,267,output_superset,rows_same:cols_same|output_superset|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task220,Conv:1
mixed,increase,805,451,18.309157723,none,none,267,12,all,fixed,3577,24,increase,none,none,variable,same,354,expand_or_compose;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|increase|not_applicable|none|none|all|none|none|fixed|variable,True,rows_increase:cols_increase,task221,Less:4;Concat:4;Cast:4;Sub:3;Equal:2;Slice:1;ReduceSum:1;Div:1;Floor:1;Mul:1
mixed,decrease,2605,1614,17.134812046,none,none,266,7,none,fixed,5441,33,decrease,none,none,fixed,output_subset,991,same_shape;palette_filter;select_or_erase,266,output_subset,rows_same:cols_same|output_subset|decrease|decrease|output_subset|none|none|none|none|none|fixed|fixed,True,rows_same:cols_same,task222,Cast:7;ArgMax:5;Einsum:4;Sub:3;Concat:3;Sign:2;GreaterOrEqual:2;LessOrEqual:2;And:2;Mul:1
single_maxroipool,same,5,0,23.390562088,none,3x3,265,1,mixed,fixed,214,1,increase,none,none,fixed,same,5,expand_or_compose;integer_scale;paint_or_fill,0,not_applicable,rows_increase:cols_increase|same|increase|same|not_applicable|none|none|mixed|none|3x3|fixed|fixed,True,rows_increase:cols_increase,task223,MaxRoiPool:1
mixed,decrease,1886,1800,17.457786537,none,none,266,17,none,variable,1924,42,increase,none,none,variable,same,86,same_shape;paint_or_fill,266,output_superset,rows_same:cols_same|same|increase|decrease|output_superset|none|none|none|none|none|variable|variable,True,rows_same:cols_same,task224,Cast:8;Sub:6;Where:5;Greater:3;Min:3;Einsum:2;Slice:2;ReduceMax:2;ReduceMin:2;Equal:2
