base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
2692,676,,355,321,18.483806923957037,e740504fef18b6ca71dccaa3da65c520751bf5ce0779606afe70ac926da15c40,-1059,cost-positive,-157,True,1633,519,,460,59,18.748096116834112,56cb92840dcb831df0e040ea5db63137708fd98cf404ed180bfa2fada0817f02,0.26428919287707586,task394
6467,1024,,805,219,18.068528194400546,bb4cfc4ace6bfd71dfecbf1fea89d780d74f15e5759e562d5661352f0701b936,-4932,cost-positive,-224,True,1535,800,,727,73,18.315388272332072,5980404bc12b0311e166edc94d0384f6141ead2990d6a9182d0d52f88197d929,0.24686007793152598,task183
1316,500,,320,180,18.78539190157781,0491f16c4a6eb11d4f0ceb4d71ba78eef6fb2981a3c7b1b7cc2a2d748205ae74,-86,cost-positive,-105,True,1230,395,,348,47,19.021114235098878,86bf66b01c294ee76f96bb6596725a89c477ca96e2f6aed489f0ac52a2375132,0.23572233352106764,task253
11436,7530,,7185,345,16.07334967920606,b0a0a2400035e1a95c1c87b83b547a31ddcf2ae5b082b529f67eb3ac02b59f04,-9052,cost-positive,-1554,True,2384,5976,,5921,55,16.304493273187347,d5e491ad0f517d08ac23ed2c6d984319fa1db09ab237b5d1ed5ad1a2675d224c,0.2311435939812867,task255
1427,355,,292,63,19.127882210524582,98d9f06dbc0479a94be0df405fc4356259097ea03def8320be95dc795cb2caee,-559,cost-positive,-72,True,868,283,,266,17,19.35455310235676,963d74c814b2e1c774fd760bf74d8c4caf4ac4a54548fcc3856f081217afc462,0.22667089183217826,task290
2606,1803,,1604,199,17.50279277679668,2cca72f3f7f65f4c2319beeeae8bc2b49d6bb9652e787824f6d3ca722542b1d5,-1177,cost-positive,-343,True,1429,1460,,1330,130,17.713808285297617,de6d82827b7068be75f5fc0212570b094e090b2fc7edb01a5a1773293028df3b,0.2110155085009353,task030
1924,1886,,1800,86,17.457786536806598,3aef9c3e1c23fd8be1e6a1ae3a52b56c523677d33ca69621f2342ece30e78c14,-217,cost-positive,-334,True,1707,1552,,1508,44,17.652700299256836,19dc5eb3d8d60488e06a9eb8077fe28def5570ed6db2af3524f283a5e3053894,0.19491376245023773,task224
4032,1955,,1651,304,17.421854527580535,cb2e45d47238e214af7d278e0c2bbd7c327446c2ad7c099e294bef0f338419a6,-1766,cost-positive,-273,True,2266,1682,,1578,104,17.572261159467107,93cd5d7c7bd5ce475995eb36bb7f09c9ee07f9e6ed21595e026e89edde1cd19a,0.15040663188657177,task185
3078,1562,,1505,57,17.64627766960037,aea824c5f3b86312b0d017d65b6800acd039722ef41ab46d5668b4df5c7b9932,-2158,cost-positive,-195,True,920,1367,,1310,57,17.77962616327605,7bd0ac76d90e45d6a55c512278b7acc63ce8081d538b02c5bc9f4246edcd9e14,0.1333484936756797,task156
4215,7653,,7500,153,16.05714699319008,52e16ff56007ff0d77a768200c6e9d8489330a06c9913fef0c57a4599be1552e,-451,cost-positive,-840,True,3764,6813,,6701,112,16.17341216922633,141d7af77cef0e3b226f145c95ffbf4b09460498bbcaa6317bf59758f282273c,0.11626517603625075,task379
1011,200,,0,200,19.701682633451963,4e56449b9c745647452dac693c2c5e05ac04a738c3178e6b3f5af0e88001f80c,-199,cost-positive,-20,True,812,180,,80,100,19.807043149109788,1bf0d1ce0adb7faed67a410fb441cbb55ec04af37f8edd9742a43a8257f08938,0.105360515657825,task229
1178,1319,,1300,19,17.815370847282686,24e9acdd6b1002612e9f26807572e0509780a13c22a7502c9e67d7a87d69306c,-424,cost-positive,-99,True,754,1220,,1200,20,17.893393862272696,1292065051659c4c459876e2cb867d33b078633dc5b70777947a25006f3a98c7,0.07802301499000919,task356
2196,638,,582,56,18.54166171665521,b8b434ac832a270191b343a343693a2fb0e3863c40778cabaf753110e319bb51,-961,cost-positive,-40,True,1235,598,,550,48,18.606409246049367,042d4e0dd24cca8031aea65dfed802be18dff7d8c377ba5ccb6d3d67be507f39,0.06474752939415751,task065
841,160,,0,160,19.924826184766175,99b599c06b5383b6a3980625451879d190052ada9c03c5bcff44f91446a2e420,-47,cost-positive,-10,True,794,150,,0,150,19.989364705903746,66f01abc7c629250bbfcdec2238603f4e6fa651d9cc9bfd06b9930e692b326ba,0.06453852113757108,task258
623,104,,0,104,20.35560910085863,24b5c705a650f19dd38c7477a70dc19699523501662ffde1afb3973cb504ff4a,-21,cost-positive,-4,True,602,100,,0,100,20.394829814011906,462fd3f5d0b79a6ad38365ef1feb3b31535ed5412d0ffa61aa5ff2e835be28f0,0.03922071315327713,task144
1703,345,,242,103,19.15645558296864,90f67e98b88dc7cf18827011f97c5e3e7ffd2cb811ad3edb0e6b8268a26e011b,-851,cost-positive,-1,True,852,344,,303,41,19.159358342626604,a30c36ed850510547e68b580a998d22e17dab81e1568c1cfcf910684fc922640,0.002902759657963827,task049
1161,5346,,5272,74,16.415896103301137,56a2b1dcab446fd8d3d5e5f41af4c2cba35cc7c6b15b43cccacce334775a922e,-10,cost-positive,-4,True,1151,5342,,5272,70,16.416644606330095,607a270219a55c8eb672463122aa4445a02921b281e70530060888b90466658c,0.0007485030289586803,task192
877,153,,126,27,19.969562078607566,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,-308,cost-neutral,0,True,569,153,,126,27,19.969562078607566,87542a0252ae3163e7ca36ccfa10483efe8908221f9ffe1e0a48c9e54bb261d9,0.0,task006
840,127,,0,127,20.15581291354141,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,-103,cost-neutral,0,True,737,127,,0,127,20.15581291354141,3bdfe81ad3ccb62cc311a90949f886cf29f6dc822b8720a17b11eff03ece21b2,0.0,task007
158,10,,0,10,22.697414907005953,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,-3,cost-neutral,0,True,155,10,,0,10,22.697414907005953,6ac7b2508c1914837f3c4c044cb82b1502174039ae4fcb52ef0367116de6848f,0.0,task016
844,324,,264,60,19.21925648420767,014d964ed0937b3da52fef113d01f3dc5bc74432d55441883773265ce5a0530e,-3,cost-neutral,0,True,841,324,,264,60,19.21925648420767,9c88cd14d6fba2f4d2c4327428b0830618f41ac52b15d1855005b6a9918fc8c9,0.0,task021
1016,200,,0,200,19.701682633451963,cad3493d1882e587c1667ce1b4797c2692ad843221d4e0f20b935d6cdd8aab2f,-39,cost-neutral,0,True,977,200,,0,200,19.701682633451963,2e15dbe5af1af865e50abf34ede39639234803793f32bd93f7e00f6d21faff9e,0.0,task026
892,213,,163,50,19.638707834290575,c4776de59a95731af1b97ef08b61bd62db867c2ddd6b9d2039ce294a0817b7de,-202,cost-neutral,0,True,690,213,,163,50,19.638707834290575,614e175cef5779da691e08d113d71ae8f9b8f43ac8f5a73212f1e362490059f4,0.0,task038
1830,3110,,2792,318,16.95762199482672,750708a9a5332fbd8c065a17348a4b924a31c866117c6b9319e896e0ab2b652c,-478,cost-neutral,0,True,1352,3110,,2792,318,16.95762199482672,2b473e13425b668d62e0c02dc5e0069afacc6b18bee9c7da1daad218f4a5bd7b,0.0,task042
1786,793,,588,205,18.324176778365153,f779cd25faf94b2cb7aba327fd656159c8993ea8751767ae384105af8f1dc153,-366,cost-neutral,0,True,1420,793,,588,205,18.324176778365153,fc0ad9351e692880daa827475328d3ee8847d9d45f8e47d66c6d2d6bc0f4ea08,0.0,task043
2305,862,,826,36,18.240744729336306,7a9b76d46fa67b896ead9c80c3c13e8a408bb0d969aa6c4054fb74c6bb0caf58,-1197,cost-neutral,0,True,1108,862,,826,36,18.240744729336306,08f356a70265d794515b8116baaed6f70c4d549502c1a67e66daca1542835f2c,0.0,task047
