base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,cost_delta,different,donor_bytes,donor_cost,donor_error,donor_memory,donor_params,donor_points,donor_sha256,point_delta,task
298,80,,80,0,20.61797336532612,0a5f6e5eabed3dbd3b710c59c3dc4379fb147540f4700b58d5165bc519e4e958,6,cost-neutral,0,True,304,80,,80,0,20.61797336532612,64ed3b2f80769d740a6b3d7be66f799a8e4fd3b919ea493276517ca64705d6bd,0.0,task129
382,30,,0,30,21.598802618337846,aaf291bab4664270ac1030a0f0a0efa703f037c864bb9dea18014975c16b0dc3,-7,cost-neutral,0,True,375,30,,0,30,21.598802618337846,bf7988ee69bcfcdcc3c6de79e3d5e650641db7fc2d3bd4c3abbabfac27848bd8,0.0,task130
5512,3874,,3235,639,16.73795715603306,79ff05f1116e16a8f7198a96b75fb7b9e84664a2e376311b852f51f20c5da67f,3431,cost-neutral,0,True,8943,3874,,3235,639,16.73795715603306,c4cd2c7c985ee9f7987475c7ed21b6067ef60e35bbe12c445d412e804298c82d,0.0,task131
3413,1529,,1427,102,17.667630794070938,1664ea3a2506936f9b18acafbff267843ae08bf811a351c683224ccd5eaedd74,1965,cost-neutral,0,True,5378,1529,,1427,102,17.667630794070938,f13f9bf6fcb650261cba0683e3de115f51cc67239d249222d158c2c45d34d3a3,0.0,task134
3167,1194,,1159,35,17.91493570604745,4430b1c3c181a69844eedd5545e05d0ce6509471864a0935e98f230f8afec3b5,358,cost-neutral,0,True,3525,1194,,1159,35,17.91493570604745,45cc978e1130ad59d2e96135d4f2d7bb142c80b0aa66f8a0d51236e27060e810,0.0,task136
6416,12042,,11840,202,15.603844181975607,e6c13c0273e42873590aee0f24b6922cf53246ad7e16053cd03312997e3509cc,783,cost-neutral,0,True,7199,12042,,11840,202,15.603844181975607,d5e37cdd67920eb13a92470bd717b62f2b5aa89d7e78bf4c1e9aa341adc95014,0.0,task138
382,5,,0,5,23.3905620875659,d4830ee432562703ce0e624377faf58bf72b5433e6b4616e8268be0d20a86dc8,2,cost-neutral,0,True,384,5,,0,5,23.3905620875659,2a8322fa3f67dca8549f9714d598038d26329a01a5f2bc5438ef6c67ad15aefc,0.0,task140
1472,1383,,1281,102,17.76798966833524,78b24d3c4bc848874427e8e31cb50ee4a3c3bc8fbd3ce6b9fe02b3b9999d50b7,594,cost-neutral,0,True,2066,1383,,1281,102,17.76798966833524,1c86a7bc60c435b26e8952ead03dbd761608952710a0110d36ae4fe03e8245f5,0.0,task141
544,90,,0,90,20.500190329669735,18b4e10c739b09f16f0c3cdbde7b1be93eb0a143298b870912ae715d435ac750,59,cost-neutral,0,True,603,90,,0,90,20.500190329669735,51448a765e9da27331e50cd5b4848dfda7df45e1cda08c03eb5ee5d534f93c80,0.0,task142
2694,837,,591,246,18.270175929510525,c1d1531b12372e17f7fec8ff19b05b78fcd32061efb7dce318a3cd7fc0d1e221,1180,cost-neutral,0,True,3874,837,,591,246,18.270175929510525,295b4192c74f85f88dc1af81ccd177a8455f1acbd3b9698b5450b43dae3298c9,0.0,task143
3877,12855,,12744,111,15.53851188030001,2dbfb6f9d5ea294d2e0be0fbfd5fbb2460a1e249de794bd3bb31f95a48b4f883,632,cost-neutral,0,True,4509,12855,,12744,111,15.53851188030001,8072f0d53e17e87b1a22d756fd6bf1ddf26ed01c85f8a6028676831b1287b83c,0.0,task145
1309,532,,432,100,18.723356510658355,f8c50aeec09138e2867f0b468a7f41db144b8a4a6df6a3889a0a8801a6aa4d2b,-27,cost-neutral,0,True,1282,532,,432,100,18.723356510658355,b43b6e42d39fc57c3e4688a3f436405b1d6c0008b2fc71ab6d670d466a63a4b6,0.0,task147
5216,4887,,4635,252,16.505666102729847,7930e3962bbbb169e17d22e30114d35fe6bf44db37814fcdf2a44162c107939e,328,cost-neutral,0,True,5544,4887,,4635,252,16.505666102729847,3db4facc06292661e09b031aae3bbac567f09e0e4d0e072c868577efdbebf9ea,0.0,task148
559,138,,136,2,20.072746314842796,584636d98ce2bb69838ce0f9596522398858fadc2b264fa267593030aaf74b5f,105,cost-neutral,0,True,664,138,,136,2,20.072746314842796,d1da32d6f2346b636db39992100ae73b1716498f91b0d46231a5b6516f2a3bae,0.0,task150
3790,900,,0,900,18.197605236675688,923f0ee2c55298f44b9f8669305997a4277a7143c4a847c20d536b039d0e163f,20,cost-neutral,0,True,3810,900,,0,900,18.197605236675688,f25f9aae2526455269ad3391938a6b2d79eedabec37c198df42d26c2ede4c86a,0.0,task151
532,90,,0,90,20.500190329669735,54bc32a1ef4228ed1c17147afe1ca1a698e8ea140f79fd1373e3ad25e4518858,58,cost-neutral,0,True,590,90,,0,90,20.500190329669735,7f31c8ebbe6a46a5e8cafd6db8bbff6ab52583bb7e231cd1d93b09ab98e0852a,0.0,task152
3733,2679,,2581,98,17.10680113045539,7b40abef1673818c738f89fdaea726928d9b1fbafe0f05c5b940b93ba499529a,1269,cost-neutral,0,True,5002,2679,,2581,98,17.10680113045539,783f7766fa101d1a6e1ac770ea335f6f95c55356c9c98f2bb86ebce7275d860f,0.0,task154
593,138,,136,2,20.072746314842796,0faf6dbc5525fca74bf5f2e0335d3a0691b1edcd44f0463c4c8148d20e1fd979,105,cost-neutral,0,True,698,138,,136,2,20.072746314842796,3770b4711b9b26a5c66903945a798c2c8fac11c757e5df7dcbe7244edc629dd5,0.0,task155
3358,1568,,1419,149,17.642443799089648,9d38af3859f9df7b0fcac238d0bc67c549ea995f3cc6eaea41824310b9f84e70,173,cost-neutral,0,True,3531,1568,,1419,149,17.642443799089648,305f7edc9aca7e8c719a667a98f7fb058eb88379323726236fb6b2d2644f2448,0.0,task159
1376,1334,,1164,170,17.804062773524432,4009d245574a3c5628037d425de0c5e9c4bf45e9d091aff99f67916c50eca6c3,253,cost-neutral,0,True,1629,1334,,1164,170,17.804062773524432,7701ce244f3edfaccb09e15c24c39d62a596e65255a987e4bb5e68b87408b8ce,0.0,task160
2614,1808,,1646,162,17.500023459047878,a98c84ce6b85582c7ae205095c79ae1cd820f9e88461b962deca79700ae83da5,1084,cost-neutral,0,True,3698,1808,,1646,162,17.500023459047878,98c76d5468cef69d932bd224a71e34731fad04cb5e9b4f730789b6ff0f0b4c4a,0.0,task161
479,30,,0,30,21.598802618337846,250771b94d3db4658d4ac04e3bd9a0740f2af0f3aba0bb9b5df4d6181bb470d4,24,cost-neutral,0,True,503,30,,0,30,21.598802618337846,701b4adac413f1b4579c013605b0b82ec3557e81a534afea057eb5385e44c6ed,0.0,task164
352,24,,0,24,21.821946169652055,5b27fd62c7975ee02404cfb956fcf535d40fba52b6f0b09987d88c744fe4ede8,42,cost-neutral,0,True,394,24,,0,24,21.821946169652055,228ab0acae28ca5fc7261492d07803873b4187f448473fb759896d6cf62edf67,0.0,task166
2908,2237,,2096,141,17.28710903850987,c81135be4a029d0baee760c6f2794dd3d9e2a0066f9f6286b41415dd9e015f46,439,cost-neutral,0,True,3347,2237,,2096,141,17.28710903850987,ebc9f34570cfafcfe8195252d719e58078f259c3cd51866a4dd1d8bbafad60ab,0.0,task168
1404,1670,,1500,170,17.5794210945892,19de1a4e6be8661d13c9f9103e149355023743e77b5e636ebddd4cd40b84f990,278,cost-neutral,0,True,1682,1670,,1500,170,17.5794210945892,227e555e18c3f1734ac6fa80d395f35a43cddd4ba8f0f75db41461e70caad4a8,0.0,task169
479,30,,0,30,21.598802618337846,aa923630b6479cf1a1f5e7b7bfe2e4947e1c8ba8edba4f31d250b0b2f0c98dde,24,cost-neutral,0,True,503,30,,0,30,21.598802618337846,33754d26bb306ccf4ff56220bb64d198e4f5a3ce16466739d1a42b1c47d075c9,0.0,task172
4073,13383,,13307,76,15.498259476203625,804b575ba69cd27c923f1e2fe031438bd3e3a50ea0725310cea6f4e3584b494e,4179,cost-neutral,0,True,8252,13383,,13307,76,15.498259476203625,4cff81761efd39b2ff3e2f3d6347a047bb0d75d2c7058f0fa9eba8228e45b397,0.0,task173
1044,210,,0,210,19.65289246928253,90377d7d18ecb829911a960afcc184f1b8c3c7509cf4e6fa56ca8edd1acbd75b,75,cost-neutral,0,True,1119,210,,0,210,19.65289246928253,35b79dce589907d93a3320692513596847105647c96368648415651bb457afc2,0.0,task176
