base_bytes,base_cost,base_error,base_memory,base_params,base_points,base_sha256,byte_delta,classification,different,donor_bytes,donor_error,donor_sha256,task
14638,10571,,10374,197,15.734130318231337,9d1ed34425c59402ca7471055cc03ff969bc05244a1e4996d90bcd1b29f5ed02,-2380,donor-unscorable,True,12258,ValueError: network performance could not be measured,9cd3543ae0407530d2795aa8a62a1f88eb08116b088ed504929078a3afaa5a36,task066
1693,623,,500,123,18.565453481212547,4dff0626d4da16c33bac4c0edd9a6b73856b403fcb124505fedd4dadbedc15ca,10565,donor-unscorable,True,12258,ValueError: network performance could not be measured,c253d74646926d814c4dcb8e5e13ae0fa7a668f2a101f7ada27ca2bce164385c,task068
2903,2949,,2864,85,17.010778591184724,000bcfb2908cf36e489ff6a1c0100e7c928841caf1c88d6a1108c29de4bf8787,9355,donor-unscorable,True,12258,ValueError: network performance could not be measured,3607a9c9064e82c805d46273e9c0ebc580df579c80f04edfbe59d1a8d1699673,task069
1863,1682,,1440,242,17.572261159467107,8ddfd08c064d265733cd07d03f7033d49b7d4595febf9099d7b5bf5025004422,10395,donor-unscorable,True,12258,ValueError: network performance could not be measured,4e8079a3f13eccbd319b3da4a6079280cdc3aa8b42893a3e3f0a30a693b49c25,task070
3098,2663,,2607,56,17.11279141418607,a5ef0bd5a5854af84e4242cdd388aded06011325d742359d26990ca35a5cfeea,9160,donor-unscorable,True,12258,ValueError: network performance could not be measured,31d62a3cb8d3309c264f74b86f5fc569432d68318375396f3b1c24b07793395f,task071
321,24,,0,24,21.821946169652055,ac704419012fdb4ad9b3d016b19131dc20aad28cf8867e4d0121fee4f26f6102,11937,donor-unscorable,True,12258,ValueError: network performance could not be measured,43fd5b1b03d48054a9e4007b6455282913841232ccf3fae2d92138845b7567b2,task073
15145,8394,,6436,1958,15.964727556106464,7c6770b01fbde8054bb2ca483221f1a13b69f7c8eb4888411f6bc833894b89f8,-2887,donor-unscorable,True,12258,ValueError: network performance could not be measured,34f7557fa761275c8ffc31f87472c0175673e5e97e7b83b7378baedbc7908ae5,task074
1697,1487,,1326,161,17.695484053539843,597d643e5bf0921ab6030007e6242e77feb12b000c0e392b7fe40296a9bae887,10561,donor-unscorable,True,12258,ValueError: network performance could not be measured,44e728651ac0a1ef2c5466daf7c7dd8711dc5a0e221121a490f551b6214715d3,task075
9771,12825,,12738,87,15.54084832996103,57d84bad3868e2717c65fb4821dfbb588a172c3cc39a7acf529a5b2973da8b49,2487,donor-unscorable,True,12258,ValueError: network performance could not be measured,09e5e9f83ad1f3e51d3d1056e5ce39f7df42d456c25b0b7fcb8bc22967c11ba8,task076
979,7657,,7620,37,16.056624458886876,99f5e5425893037413f1bfbece16fb903cb615dc1dc01b0ea30cefa7c6fb5555,11279,donor-unscorable,True,12258,ValueError: network performance could not be measured,649f77f858bb08e08c24b02db839412cf13f0b462dce25e5fef1f3089094b74a,task077
581,82,,0,82,20.593280752735748,54db7a9ffcc7777a96dc05b7d3a9d2f0dc81c7eb53dd57eeba37688fd03b287f,11677,donor-unscorable,True,12258,ValueError: network performance could not be measured,e8dc8b38b5f755f502fd736829381edc3281617b565a3cb6f4031f51bee12e00,task078
6266,9158,,8725,433,15.87761690678296,d43794504c2bb07283ef3892b603285997495453318e51224710ad821c1a2251,5992,donor-unscorable,True,12258,ValueError: network performance could not be measured,709742751766fd338c13e7ab5ddb5b33c5a66741cc09b3afedcac614a53efe14,task080
